rank,finalWorth,category,personName,age,country,city,source,selfMade,gender,lastName,firstName
580,4700,Media & Entertainment,Thomas Secunda,68,United States,Croton-on-Hudson,Bloomberg LP,TRUE,M,Secunda,Thomas
580,4700,Diversified,Zuowen Song,76,China,Longkou,"Aluminum, diversified",TRUE,M,Song,Zuowen
580,4700,Media & Entertainment,Tim Sweeney,52,United States,Cary,Video games,TRUE,M,Sweeney,Tim
591,4600,Food & Beverage,Bert Beveridge,61,United States,Austin,Vodka,TRUE,M,Beveridge,Bert
591,4600,Media & Entertainment,Mark Cuban,64,United States,Dallas,"Online media, Dallas Mavericks",TRUE,M,Cuban,Mark
591,4600,Media & Entertainment,Charles Dolan & family,96,United States,Oyster Bay,Cable television,TRUE,M,Dolan,Charles
591,4600,Technology,Jack Dorsey,46,United States,San Francisco,"Twitter, Square",TRUE,M,Dorsey,Jack
591,4600,Energy,Fan Hongwei,56,China,Wujiang,Petrochemicals,TRUE,F,Fan,Hongwei
591,4600,Metals & Mining,Vladimir Kim,62,Kazakhstan,Almaty,Mining,TRUE,M,Kim,Vladimir
591,4600,Finance & Investments,"Andre Koo, Sr.",55,Taiwan,Taipei,Financial services,FALSE,M,Koo,Andre
591,4600,Fashion & Retail,Ronald Lauder,79,United States,New York,Estee Lauder,FALSE,M,Lauder,Ronald
591,4600,Manufacturing,Li Chunan,54,China,Fushun,Renewable energy,TRUE,M,Li,Chunan
591,4600,Media & Entertainment,Forrest Li,45,Singapore,Singapore,Gaming,TRUE,M,Li,Forrest
591,4600,Telecom,Richard Li,56,Hong Kong,Hong Kong,Telecom,FALSE,M,Li,Richard
591,4600,Fashion & Retail,Doug Meijer & family,69,United States,Grand Rapids,Supermarkets,FALSE,M,Meijer,Doug
591,4600,Fashion & Retail,Hank Meijer & family,71,United States,Grand Rapids,Supermarkets,FALSE,M,Meijer,Hank
591,4600,Fashion & Retail,Mark Meijer & family,65,United States,Grand Rapids,Supermarkets,FALSE,M,Meijer,Mark
591,4600,Food & Beverage,Issad Rebrab & family,79,Algeria,Algiers,Food,TRUE,M,Rebrab,Issad
591,4600,Logistics,Fred Smith,78,United States,Memphis,FedEx,TRUE,M,Smith,Fred
591,4600,Finance & Investments,Barry Sternlicht,62,United States,Miami,Private equity,TRUE,M,Sternlicht,Barry
591,4600,Manufacturing,Maximilian Viessmann,34,Germany,Battenberg,"Heating, cooling equipment",FALSE,M,Viessmann,Maximilian
591,4600,Food & Beverage,Russ Weiner,52,United States,Delray Beach,Energy drinks,TRUE,M,Weiner,Russ
591,4600,Healthcare,Xue Min,66,China,Wuhan,Healthcare,TRUE,M,Xue,Min
611,4500,Food & Beverage,Juan Domingo Beckmann Legorreta & family,55,Mexico,Blank,Tequila,FALSE,M,Beckmann Legorreta,Juan Domingo
611,4500,Technology,Dietmar Hopp & family,82,Germany,Walldorf,Software,TRUE,M,Hopp,Dietmar
611,4500,Technology,Jiang Bin,56,China,Weifang,Acoustic components,TRUE,M,Jiang,Bin
611,4500,Technology,Joseph Liemandt,54,United States,Austin,Software,TRUE,M,Liemandt,Joseph
611,4500,Food & Beverage,Theo Mueller,83,Switzerland,Zurich,Dairy,FALSE,M,Mueller,Theo
611,4500,Technology,N.R. Narayana Murthy,76,India,Bangalore,Software services,TRUE,M,Murthy,N.R. Narayana
611,4500,Fashion & Retail,Odd Reitan & family,71,Norway,Trondheim,"Retail, real estate",FALSE,M,Reitan,Odd
611,4500,Finance & Investments,Marc Rowan,60,United States,New York,Private equity,TRUE,M,Rowan,Marc
611,4500,Real Estate,Hussain Sajwani,70,United Arab Emirates,Dubai,Real estate,TRUE,M,Sajwani,Hussain
611,4500,Finance & Investments,David Velez & family,41,Brazil,Sao Paulo,Fintech,TRUE,M,Velez,David
611,4500,Manufacturing,Xu Jinfu,59,China,Guangzhou,Chemicals,TRUE,M,Xu,Jinfu
611,4500,Diversified,Samuel Yin,72,Taiwan,Taipei,Retail,FALSE,M,Yin,Samuel
611,4500,Manufacturing,You Xiaoping & family,65,China,Wenzhou,"Chemicals, spandex",TRUE,M,You,Xiaoping
624,4400,Healthcare,Stéphane Bancel,50,United States,Boston,"Biotech, vaccines",TRUE,M,Bancel,Stéphane
624,4400,Technology,Margot Birmingham Perot,89,United States,Dallas,"Computer services, real estate",FALSE,F,Birmingham Perot,Margot
624,4400,Manufacturing,Neal Blue & family,88,United States,San Diego,Defense,TRUE,M,Blue,Neal
624,4400,Service,Jim Davis,63,United States,Cockeysville,Staffing & recruiting,TRUE,M,Davis,Jim
624,4400,Construction & Engineering,Rafael Del Pino,64,Spain,Madrid,Construction,FALSE,M,Del Pino,Rafael
624,4400,Healthcare,Peter Grogg,81,Switzerland,Liestal,Biochemicals,TRUE,M,Grogg,Peter
624,4400,Fashion & Retail,Christian Haub,58,Germany,Munich,Retail,FALSE,M,Haub,Christian
624,4400,Real Estate,Mangal Prabhat Lodha,67,India,Mumbai,Real estate,TRUE,M,Lodha,Mangal Prabhat
624,4400,Sports,Jeffrey Lurie & family,71,United States,Wynnewood,Philadelphia Eagles,FALSE,M,Lurie,Jeffrey
624,4400,Finance & Investments,Joe Mansueto,66,United States,Chicago,Investment research,TRUE,M,Mansueto,Joe
624,4400,Manufacturing,Qian Dongqi & family,65,China,Suzhou,Home-cleaning robots,TRUE,M,Qian,Dongqi
624,4400,Metals & Mining,Mikhail Shelkov,54,Russia,Moscow,Titanium,TRUE,M,Shelkov,Mikhail
636,4300,Telecom,Patrick Drahi,59,Switzerland,Zermatt,Telecom,TRUE,M,Drahi,Patrick
636,4300,Finance & Investments,Behdad Eghbali,46,United States,Los Angeles,Private equity,TRUE,M,Eghbali,Behdad
636,4300,Finance & Investments,Juan Carlos Escotet,63,Spain,A Coruña,Banking,TRUE,M,Escotet,Juan Carlos
636,4300,Finance & Investments,Jose E. Feliciano,49,United States,Los Angeles,Private equity,TRUE,M,Feliciano,Jose E.
636,4300,Healthcare,Hu Kaijun,61,China,Beijing,Pharmaceuticals,TRUE,M,Hu,Kaijun
636,4300,Logistics,Johnelle Hunt,91,United States,Fayetteville,Trucking,TRUE,F,Hunt,Johnelle
636,4300,Food & Beverage,Marian Ilitch,90,United States,Bingham Farms,Little Caesars Pizza,TRUE,F,Ilitch,Marian
636,4300,Diversified,Daryl Katz,61,Canada,Edmonton,Pharmacies,TRUE,M,Katz,Daryl
636,4300,Metals & Mining,Andrei Kozitsyn,62,Russia,Verkhniaya Pyshma,Metals,TRUE,M,Kozitsyn,Andrei
636,4300,Finance & Investments,Timur Kulibaev,56,Kazakhstan,Almaty,Banking,TRUE,M,Kulibaev,Timur
636,4300,Finance & Investments,Dinara Kulibaeva,55,Kazakhstan,Almaty,Banking,FALSE,F,Kulibaeva,Dinara
636,4300,Real Estate,Ian Livingstone,60,Blank,Blank,Real estate,TRUE,M,Livingstone,Ian
636,4300,Real Estate,Richard Livingstone,58,Blank,Blank,Real estate,TRUE,M,Livingstone,Richard
636,4300,Food & Beverage,Gwendolyn Sontheim Meyer,61,United States,Rancho Santa Fe,Cargill,FALSE,F,Meyer,Gwendolyn Sontheim
636,4300,Real Estate,Jay Paul,75,United States,San Francisco,Real estate,TRUE,M,Paul,Jay
636,4300,Diversified,Pham Nhat Vuong,54,Vietnam,Hanoi,Diversified,TRUE,M,Pham,Nhat Vuong
636,4300,Healthcare,Jon Stryker,64,United States,New York,Medical equipment,FALSE,M,Stryker,Jon
636,4300,Finance & Investments,Daniel Tsai,66,Taiwan,Taipei,Finance,FALSE,M,Tsai,Daniel
636,4300,Finance & Investments,Richard Tsai,65,Taiwan,Taipei,Finance,FALSE,M,Tsai,Richard
636,4300,Technology,Frank Wang,42,China,Shenzhen,Drones,TRUE,M,Wang,Frank
636,4300,Manufacturing,Wang Junshi & family,74,China,Ningbo,Solar inverters,TRUE,M,Wang,Junshi
636,4300,Technology,Wang Wenjing,58,China,Beijing,Business software,TRUE,M,Wang,Wenjing
636,4300,Finance & Investments,Herbert Wertheim,83,United States,Coral Gables,Investments,TRUE,M,Wertheim,Herbert
659,4200,Service,Shari Arison,65,Israel,Tel Aviv,Carnival Cruises,FALSE,F,Arison,Shari
659,4200,Finance & Investments,Pyotr Aven,68,Latvia,Blank,"Oil, banking, telecom",TRUE,M,Aven,Pyotr
659,4200,Real Estate,Chan Laiwa & family,82,China,Beijing,Real estate,TRUE,F,Chan,Laiwa
659,4200,Real Estate,Chen Hua,57,China,Shenzhen,Real estate,TRUE,M,Chen,Hua
659,4200,Finance & Investments,Thomas Hagen,87,United States,Erie,Insurance,FALSE,M,Hagen,Thomas
659,4200,Finance & Investments,"Rupert Johnson, Jr.",82,United States,Burlingame,Franklin Templeton,FALSE,M,Johnson,Rupert
659,4200,Energy,Dewi Kam,72,Indonesia,Jakarta,Coal,TRUE,F,Kam,Dewi
659,4200,Technology,Min Kao & family,74,United States,Leawood,Navigation equipment,TRUE,M,Kao,Min
659,4200,Finance & Investments,Marc Ladreit de Lacharriere,82,France,Paris,Finance,TRUE,M,Ladreit de Lacharriere,Marc
659,4200,Technology,Eric Lefkofsky,53,United States,Glencoe,"Groupon, investments",TRUE,M,Lefkofsky,Eric
659,4200,Technology,Lin Bin,55,China,Shenzhen,Smartphones,TRUE,M,Lin,Bin
659,4200,Finance & Investments,Lin Li,59,China,Shenzhen,Investments,TRUE,M,Lin,Li
659,4200,Technology,Michael Moritz,68,United States,San Francisco,Venture capital,TRUE,M,Moritz,Michael
659,4200,Service,Jean (Gigi) Pritzker,60,United States,Los Angeles,"Hotels, investments",FALSE,F,Pritzker,Jean (Gigi)
659,4200,Automotive,E. Joe Shoen,73,United States,Phoenix,U-Haul,FALSE,M,Shoen,E. Joe
659,4200,Technology,Jeff Skoll,58,United States,Los Angeles,EBay,TRUE,M,Skoll,Jeff
659,4200,Food & Beverage,Lynsi Snyder,40,United States,Glendora,In-N-Out Burger,FALSE,F,Snyder,Lynsi
659,4200,Fashion & Retail,Djoko Susanto,73,Indonesia,Jakarta,Supermarkets,TRUE,M,Susanto,Djoko
659,4200,Diversified,Tahir & family,71,Indonesia,Jakarta,Diversified,TRUE,M,Tahir,
659,4200,Finance & Investments,Peter Thiel,55,United States,Los Angeles,"Facebook, investments",TRUE,M,Thiel,Peter
679,4100,Food & Beverage,Andrej Babis,68,Czech Republic,Prague,Agriculture,TRUE,M,Babis,Andrej
679,4100,Service,Danielle Bellon & family,83,France,Paris,Food services,FALSE,F,Bellon,Danielle
679,4100,Media & Entertainment,Hubert Burda,83,Germany,Munich,Publishing,FALSE,M,Burda,Hubert
679,4100,Food & Beverage,Nick Caporella,87,United States,Plantation,Beverages,TRUE,M,Caporella,Nick
679,4100,Energy,John Catsimatidis,74,United States,New York,"Oil, real estate",TRUE,M,Catsimatidis,John
679,4100,Technology,Scott Cook,70,United States,Woodside,Software,TRUE,M,Cook,Scott
679,4100,Food & Beverage,Luca Garavoglia,54,Italy,Milan,Spirits,FALSE,M,Garavoglia,Luca
679,4100,Manufacturing,Antti Herlin,66,Finland,Kirkkonummi,"Elevators, escalators",FALSE,M,Herlin,Antti
679,4100,Manufacturing,Hong Jie,55,China,Putian,Paint,TRUE,M,Hong,Jie
679,4100,Service,"Jeremy Jacobs, Sr. & family",83,United States,East Aurora,Food service,FALSE,M,Jacobs,Jeremy
679,4100,Fashion & Retail,Igor Kesaev,56,Russia,Moscow,"Tobacco distribution, retail",TRUE,M,Kesaev,Igor
679,4100,Food & Beverage,Mary Alice Dorrance Malone,73,United States,Coatesville,Campbell Soup,FALSE,F,Malone,Mary Alice Dorrance
679,4100,Diversified,Joao Moreira Salles,61,Brazil,Rio de Janeiro,"Banking, minerals",FALSE,M,Moreira Salles,Joao
679,4100,Finance & Investments,Walther Moreira Salles Junior,66,Brazil,Rio de Janeiro,"Banking, minerals",FALSE,M,Moreira Salles Junior,Walther
679,4100,Sports,Arturo Moreno,76,United States,Phoenix,"Billboards, Los Angeles Angels",TRUE,M,Moreno,Arturo
679,4100,Manufacturing,Peter Spuhler,63,Switzerland,Weiningen,Train cars,TRUE,M,Spuhler,Peter
679,4100,Real Estate,Donald Sterling,88,United States,Beverly Hills,Real estate,TRUE,M,Sterling,Donald
679,4100,Diversified,Kerry Stokes,82,Australia,Perth,"Construction equipment, media",TRUE,M,Stokes,Kerry
679,4100,Technology,Ken Xie,60,United States,Los Altos Hills,Cybersecurity,TRUE,M,Xie,Ken
679,4100,Healthcare,Liangzhi Xie & family,57,China,Beijing,Biotech,TRUE,M,Xie,Liangzhi
699,4000,Energy,Sid Bass,80,United States,Fort Worth,"Oil, investments",FALSE,M,Bass,Sid
699,4000,Technology,Ben Chestnut,48,United States,Atlanta,Email marketing,TRUE,M,Chestnut,Ben
699,4000,Food & Beverage,Elisabeth DeLuca & family,75,United States,Blank,Subway,FALSE,F,DeLuca,Elisabeth
699,4000,Diversified,Guangchang Guo,56,China,Shanghai,Conglomerate,TRUE,M,Guo,Guangchang
699,4000,Manufacturing,Vinod Rai Gupta,77,India,Delhi,Electrical equipment,FALSE,F,Gupta,Vinod Rai
699,4000,Sports,John Henry,73,United States,Boca Raton,Sports,TRUE,M,Henry,John
699,4000,Technology,Travis Kalanick,46,United States,Los Angeles,Uber,TRUE,M,Kalanick,Travis
699,4000,Manufacturing,Koon Poh Keong,61,Malaysia,Petaling Jaya,Aluminum,TRUE,M,Koon,Poh Keong
699,4000,Technology,Dan Kurzius,51,United States,Atlanta,Email marketing,TRUE,M,Kurzius,Dan
699,4000,Manufacturing,Paul Lee,65,China,Yuxi,Battery separators,TRUE,M,Lee,Paul
699,4000,Technology,Tobi Lutke,42,Canada,Ottawa,E-commerce,TRUE,M,Lutke,Tobi
699,4000,Automotive,Gail Miller,79,United States,Salt Lake City,Car dealerships,TRUE,F,Miller,Gail
699,4000,Telecom,Rajan Mittal,63,India,Delhi,Telecom,FALSE,M,Mittal,Rajan
699,4000,Telecom,Rakesh Mittal,67,India,Delhi,Telecom,FALSE,M,Mittal,Rakesh
699,4000,Media & Entertainment,Isaac Perlmutter,80,United States,Palm Beach,Marvel comics,TRUE,M,Perlmutter,Isaac
699,4000,Finance & Investments,"Bernard Saul, II.",90,United States,Chevy Chase,"Banking, real estate",FALSE,M,Saul,Bernard
699,4000,Telecom,Shaul Shani,68,Italy,Milan,Telecom,TRUE,M,Shani,Shaul
699,4000,Media & Entertainment,Steven Spielberg,76,United States,Pacific Palisades,Movies,TRUE,M,Spielberg,Steven
699,4000,Healthcare,Jerzy Starak,75,Poland,Konstancin,Pharmaceuticals,TRUE,M,Starak,Jerzy
699,4000,Energy,Torbjorn Tornqvist,69,Switzerland,Geneva,Oil trading,TRUE,M,Tornqvist,Torbjorn
699,4000,Metals & Mining,Rufino Vigil Gonzalez,74,Mexico,Mexico City,Steel,TRUE,M,Vigil Gonzalez,Rufino
699,4000,Diversified,Zhang Daocai,73,China,Shaoxing,Valves,TRUE,M,Zhang,Daocai
721,3900,Manufacturing,Juergen Blickle,76,Germany,Bruchsal,Auto parts,FALSE,M,Blickle,Juergen
721,3900,Food & Beverage,"Austen Cargill, II.",72,United States,Livingston,Cargill,FALSE,M,Cargill,Austen
721,3900,Food & Beverage,"James Cargill, II.",73,United States,Birchwood,Cargill,FALSE,M,Cargill,James
721,3900,Finance & Investments,Vanich Chaiyawan,91,Thailand,Bangkok,"Insurance, beverages",TRUE,M,Chaiyawan,Vanich
721,3900,Finance & Investments,Chen Dongsheng,65,China,Beijing,Insurance,TRUE,M,Chen,Dongsheng
721,3900,Automotive,Mong-Koo Chung,85,South Korea,Seoul,Hyundai,FALSE,M,Chung,Mong-Koo
721,3900,Finance & Investments,Kenneth Dart,67,Cayman Islands,George Town,Investments,FALSE,M,Dart,Kenneth
721,3900,Fashion & Retail,Giuseppe De'Longhi & family,83,Italy,Treviso,Coffee makers,FALSE,M,De'Longhi,Giuseppe
721,3900,Healthcare,Guenther Fielmann & family,83,Germany,Hamburg,Optometry,TRUE,M,Fielmann,Guenther
721,3900,Energy,W. Herbert Hunt,94,United States,Dallas,Oil,FALSE,M,Hunt,W. Herbert
721,3900,Sports,James Irsay,63,United States,Carmel,Indianapolis Colts,FALSE,M,Irsay,James
721,3900,Diversified,Somurai Jaruphnit,0,Thailand,Bangkok,Diversified,FALSE,F,Jaruphnit,Somurai
721,3900,Food & Beverage,Marianne Liebmann,69,United States,Bozeman,Cargill,FALSE,F,Liebmann,Marianne
721,3900,Healthcare,Jorge Moll Filho & family,78,Brazil,Rio de Janeiro,Hospitals,TRUE,M,Moll Filho,Jorge
721,3900,Diversified,Fernando Roberto Moreira Salles,76,Brazil,Sao Paulo,"Banking, minerals",FALSE,M,Moreira Salles,Fernando Roberto
721,3900,Diversified,Pedro Moreira Salles,63,Brazil,Sao Paulo,"Banking, minerals",FALSE,M,Moreira Salles,Pedro
721,3900,Gambling & Casinos,Gabe Newell,60,United States,Seattle,Videogames,TRUE,M,Newell,Gabe
721,3900,Fashion & Retail,Alfred Oetker,56,Germany,Bielefeld,Consumer goods,FALSE,M,Oetker,Alfred
721,3900,Fashion & Retail,Carl Ferdinand Oetker,50,Germany,Bielefeld,Consumer goods,FALSE,M,Oetker,Carl Ferdinand
721,3900,Fashion & Retail,Julia Oetker,44,Germany,Bielefeld,Consumer goods,FALSE,F,Oetker,Julia
721,3900,Manufacturing,Ruan Hongliang & family,62,China,Jiaxing,Glass,TRUE,M,Ruan,Hongliang
721,3900,Finance & Investments,Mark Stevens,63,United States,Steamboat Springs,Venture capital,TRUE,M,Stevens,Mark
721,3900,Finance & Investments,Tsai Hong-tu,70,Taiwan,Taipei,Finance,FALSE,M,Tsai,Hong-tu
721,3900,Food & Beverage,Nusli Wadia,79,India,Mumbai,Consumer goods,FALSE,M,Wadia,Nusli
721,3900,Healthcare,Wu Yiling,73,China,Shijiazhuang,Pharmaceuticals,TRUE,M,Wu,Yiling
721,3900,Manufacturing,Yu Renrong,57,China,Ningbo,Semiconductors,TRUE,M,Yu,Renrong
721,3900,Healthcare,Zhu Baoguo & family,60,China,Shenzhen,Pharmaceuticals,TRUE,M,Zhu,Baoguo
748,3800,Service,Rahul Bhatia,63,India,Delhi,Aviation,FALSE,M,Bhatia,Rahul
748,3800,Construction & Engineering,Francesco Gaetano Caltagirone,80,Italy,Rome,"Cement, diversified",TRUE,M,Caltagirone,Francesco Gaetano
748,3800,Media & Entertainment,Barry Diller,81,United States,New York,Online media,TRUE,M,Diller,Barry
748,3800,Finance & Investments,Wesley Edens,61,United States,New York,Investments,TRUE,M,Edens,Wesley
748,3800,Finance & Investments,Stephen Feinberg,63,United States,New York,Private equity,TRUE,M,Feinberg,Stephen
748,3800,Service,Rakesh Gangwal,69,United States,Miami,Airline,TRUE,M,Gangwal,Rakesh
748,3800,Food & Beverage,Joseph Grendys,61,United States,Chicago,Poultry processing,TRUE,M,Grendys,Joseph
748,3800,Media & Entertainment,Martha Ingram & family,87,United States,Nashville,"Book distribution, transportation",FALSE,F,Ingram,Martha
748,3800,Automotive,Li Xiang,41,China,Beijing,Electric vehicles,TRUE,M,Li,Xiang
748,3800,Real Estate,"H. Ross Perot, Jr.",64,United States,Dallas,Real estate,FALSE,M,Perot,H. Ross
748,3800,Real Estate,Chandru Raheja,82,India,Mumbai,Real estate,FALSE,M,Raheja,Chandru
748,3800,Energy,Trevor Rees-Jones,71,United States,Dallas,Oil & gas,TRUE,M,Rees-Jones,Trevor
748,3800,Telecom,Yasumitsu Shigeta,58,Japan,Tokyo,Mobile phone retailer,TRUE,M,Shigeta,Yasumitsu
748,3800,Healthcare,Su Qingcan,54,China,Xiamen,Healthcare,TRUE,M,Su,Qingcan
748,3800,Finance & Investments,Tsai Cheng-ta,73,Taiwan,Taipei,Finance,FALSE,M,Tsai,Cheng-ta
748,3800,Service,Steven Udvar-Hazy,77,United States,Westlake,Aircraft leasing,TRUE,M,Udvar-Hazy,Steven
748,3800,Manufacturing,Elizabeth Uihlein,77,United States,Lake Forest,Packaging materials,TRUE,F,Uihlein,Elizabeth
748,3800,Manufacturing,Richard Uihlein,77,United States,Lake Forest,Packaging materials,TRUE,M,Uihlein,Richard
766,3700,Finance & Investments,Hayes Barnard,51,United States,Austin,Fintech,TRUE,M,Barnard,Hayes
766,3700,Finance & Investments,William Berkley,76,United States,Coconut Grove,Insurance,TRUE,M,Berkley,William
766,3700,Real Estate,Charles Cohen,71,United States,New York,Real estate,FALSE,M,Cohen,Charles
766,3700,Real Estate,Yakir Gabay,56,United Kingdom,London,Real estate,TRUE,M,Gabay,Yakir
766,3700,Technology,Huang Li,59,China,Wuhan,Imaging systems,TRUE,M,Huang,Li
766,3700,Logistics,Brad Jacobs,66,United States,Greenwich,Logistics,TRUE,M,Jacobs,Brad
766,3700,Real Estate,Ji Qi,56,China,Shanghai,"Hotels, motels",TRUE,M,Ji,Qi
766,3700,Media & Entertainment,Jason Jiang,50,China,Shanghai,Advertising,TRUE,M,Jiang,Jason
766,3700,Technology,Jim Kavanaugh,60,United States,St. Louis,IT provider,TRUE,M,Kavanaugh,Jim
766,3700,Real Estate,Richard LeFrak & family,77,United States,New York,Real estate,FALSE,M,LeFrak,Richard
766,3700,Finance & Investments,Mikhail Lomtadze,47,Kazakhstan,Almaty,Fintech,TRUE,M,Lomtadze,Mikhail
766,3700,Fashion & Retail,Tom Morris,68,United Kingdom,Merseyside,Retail,TRUE,M,Morris,Tom
766,3700,Manufacturing,Shigenobu Nagamori,78,Japan,Kyoto,Motors,TRUE,M,Nagamori,Shigenobu
766,3700,Finance & Investments,Daniel Och,62,United States,Miami Beach,Hedge funds,TRUE,M,Och,Daniel
766,3700,Fashion & Retail,Horst Paulmann & family,88,Chile,Santiago,Retail,TRUE,M,Paulmann,Horst
766,3700,Service,Anthony Pritzker,62,United States,Los Angeles,"Hotels, investments",FALSE,M,Pritzker,Anthony
766,3700,Technology,John Sall,75,United States,Cary,Software,TRUE,M,Sall,John
766,3700,Food & Beverage,Howard Schultz,69,United States,Seattle,Starbucks,TRUE,M,Schultz,Howard
766,3700,Fashion & Retail,Richard Schulze,82,United States,Naples,Best Buy,TRUE,M,Schulze,Richard
766,3700,Real Estate,Yitzhak Tshuva,74,Israel,Netanya,Real estate,TRUE,M,Tshuva,Yitzhak
766,3700,Manufacturing,Wang Yanqing & family,56,China,Wuxi,Electrical equipment,TRUE,M,Wang,Yanqing
787,3600,Diversified,Rajiv Bajaj,56,India,Pune,Diversified,FALSE,M,Bajaj,Rajiv
787,3600,Diversified,Sanjiv Bajaj,53,India,Pune,Diversified,FALSE,M,Bajaj,Sanjiv
787,3600,Finance & Investments,Leonid Boguslavsky,71,Italy,Florence,Venture capital,TRUE,M,Boguslavsky,Leonid
787,3600,Finance & Investments,Jim Coulter,63,United States,San Francisco,Private equity,TRUE,M,Coulter,Jim
787,3600,Automotive,Nicolas D'Ieteren,47,Switzerland,Anzere,"Auto parts, distribution",FALSE,M,D'Ieteren,Nicolas 
787,3600,Food & Beverage,Beatriz Davila de Santo Domingo,84,Bermuda,Blank,Beer,FALSE,F,Davila de Santo Domingo,Beatriz
787,3600,Real Estate,Bob Gaglardi,82,Canada,Vancouver,Hotels,TRUE,M,Gaglardi,Bob
787,3600,Finance & Investments,Jaime Gilinski Bacal,65,United Kingdom,London,Banking,FALSE,M,Gilinski Bacal,Jaime
787,3600,Gambling & Casinos,Pansy Ho,60,Hong Kong,Hong Kong,Casinos,FALSE,F,Ho,Pansy
787,3600,Finance & Investments,Alan Howard,59,Switzerland,Geneva,Hedge funds,TRUE,M,Howard,Alan
787,3600,Automotive,Huang Yi,61,China,Beijing,Car dealerships,TRUE,M,Huang,Yi
787,3600,Finance & Investments,Peter Kellogg,80,United States,Short Hills,Investments,FALSE,M,Kellogg,Peter
787,3600,Finance & Investments,Vyacheslav Kim,53,Kazakhstan,Almaty,Fintech,TRUE,M,Kim,Vyacheslav
787,3600,Finance & Investments,Josh Kushner,37,United States,New York City,Venture capital,TRUE,M,Kushner,Josh
787,3600,Real Estate,Samuel Tak Lee,83,Hong Kong,Hong Kong,Real estate,FALSE,M,Lee,Samuel Tak
787,3600,Real Estate,Edwin Leong,71,Hong Kong,Hong Kong,Real estate,TRUE,M,Leong,Edwin
787,3600,Finance & Investments,"Stephen Mandel, Jr.",67,United States,Greenwich,Hedge funds,TRUE,M,Mandel,Stephen
787,3600,Diversified,Mohamed Mansour,75,United Kingdom,London,Diversified,TRUE,M,Mansour,Mohamed
787,3600,Fashion & Retail,Masahiro Miki,67,Japan,Tokyo,Shoes,TRUE,M,Miki,Masahiro
787,3600,Technology,Masahiro Noda,84,Japan,Tokyo,Software,TRUE,M,Noda,Masahiro
787,3600,Technology,Cliff Obrecht,37,Australia,Sydney,Software,TRUE,M,Obrecht,Cliff
787,3600,Technology,Melanie Perkins,35,Australia,Sydney,Software,TRUE,F,Perkins,Melanie
787,3600,Finance & Investments,J.B. Pritzker,58,United States,Springfield,"Hotels, investments",FALSE,M,Pritzker,J.B.
787,3600,Fashion & Retail,Juan Roig,73,Spain,Valencia,Supermarkets,FALSE,M,Roig,Juan
787,3600,Real Estate,Jerry Speyer & family,82,United States,New York,Real estate,TRUE,M,Speyer,Jerry
787,3600,Fashion & Retail,Lawrence Stroll,63,Switzerland,Geneva,Fashion investments,TRUE,M,Stroll,Lawrence
787,3600,Logistics,Tung Chee Chen,80,Hong Kong,Hong Kong,Shipping,FALSE,M,Tung,Chee Chen
787,3600,Food & Beverage,Wang Junlin,60,China,Chengdu,Liquor,TRUE,M,Wang,Junlin
787,3600,Automotive,Xia Zuoquan,61,China,Shenzhen,"Automobiles, batteries",TRUE,M,Xia,Zuoquan
787,3600,Technology,Zeng Fangqin,57,China,Shenzhen,Smartphone components,TRUE,F,Zeng,Fangqin
787,3600,Manufacturing,Zhang Jian,54,China,Tianjin,"Electric bikes, scooters",TRUE,M,Zhang,Jian
818,3500,Fashion & Retail,Rocco Basilico,33,United States,Los Angeles,Eyeglasses,FALSE,M,Basilico,Rocco
818,3500,Healthcare,Maurizio Billi,65,Brazil,Sao Paulo,Generic drugs,FALSE,M,Billi,Maurizio
818,3500,Finance & Investments,Fashu Chen,62,China,Fuzhou,Investments,TRUE,M,Chen,Fashu
818,3500,Manufacturing,Giuseppe Crippa & family,87,Italy,Cernusco Lombardone,Microchip testing,TRUE,M,Crippa,Giuseppe
818,3500,Finance & Investments,Daniel D'Aniello,76,United States,Vienna,Private equity,TRUE,M,D'Aniello,Daniel
818,3500,Fashion & Retail,Claudio Del Vecchio,66,United States,Muttontown,Eyeglasses,FALSE,M,Del Vecchio,Claudio
818,3500,Fashion & Retail,Clemente Del Vecchio,18,Italy,Milan,Eyeglases,FALSE,M,Del Vecchio,Clemente
818,3500,Fashion & Retail,Leonardo Maria Del Vecchio,27,Italy,Milan,Eyeglasses,FALSE,M,Del Vecchio,Leonardo Maria
818,3500,Fashion & Retail,Luca Del Vecchio,21,Italy,Milan,Eyeglasses,FALSE,M,Del Vecchio,Luca
818,3500,Fashion & Retail,Marisa Del Vecchio,64,Italy,Rome,Eyeglasses,FALSE,F,Del Vecchio,Marisa
818,3500,Fashion & Retail,Paola Del Vecchio,61,Luxembourg,Luxembourg,Eyeglasses,FALSE,F,Del Vecchio,Paola
818,3500,Finance & Investments,Walter P.J. Droege,70,Germany,Dusseldorf,Investing,TRUE,M,Droege,Walter P.J.
818,3500,Fashion & Retail,Fan Daidi,57,China,Xian,Skincare,TRUE,F,Fan ,Daidi
818,3500,Technology,Peter Gassner,58,United States,Pleasanton,Software,TRUE,M,Gassner,Peter
818,3500,Energy,Mikhail Gutseriev,65,Russia,Moscow,"Oil, coal, real estate",TRUE,M,Gutseriev,Mikhail
818,3500,Manufacturing,Patrick Lee,81,Hong Kong,Hong Kong,Paper,TRUE,M,Lee,Patrick
